subject,task,task_display,group,value
sub-002,memory,Memory,Subcortical,0.20355450991098345
sub-002,memory,Memory,Visual,0.3169841239921179
sub-002,memory,Memory,Somato-Motor,0.37684469905612455
sub-002,memory,Memory,Dorsal Attention,0.37054466403754177
sub-002,memory,Memory,Salience/Ventral Attention,0.3561167747909301
sub-002,memory,Memory,Limbic,0.25875819996863264
sub-002,memory,Memory,Control,0.3410058945927402
sub-002,memory,Memory,Default,0.2666244885640743
sub-002,counting,Counting,Subcortical,0.21413666087045877
sub-002,counting,Counting,Visual,0.3763112695477291
sub-002,counting,Counting,Somato-Motor,0.3928473748087738
sub-002,counting,Counting,Dorsal Attention,0.35477786073563083
sub-002,counting,Counting,Salience/Ventral Attention,0.3736345879173719
sub-002,counting,Counting,Limbic,0.28944017563929736
sub-002,counting,Counting,Control,0.3582607842200945
sub-002,counting,Counting,Default,0.29296859235798123
sub-002,j1,J1,Subcortical,0.18080717290975706
sub-002,j1,J1,Visual,0.2270785358317483
sub-002,j1,J1,Somato-Motor,0.28750095404108805
sub-002,j1,J1,Dorsal Attention,0.35945006953118985
sub-002,j1,J1,Salience/Ventral Attention,0.32885526095157336
sub-002,j1,J1,Limbic,0.24145991195064834
sub-002,j1,J1,Control,0.3216031047877351
sub-002,j1,J1,Default,0.34846526373720493
sub-002,j2,J2,Subcortical,0.1931842861331597
sub-002,j2,J2,Visual,0.2400119914392093
sub-002,j2,J2,Somato-Motor,0.3199759720431698
sub-002,j2,J2,Dorsal Attention,0.3274753414426504
sub-002,j2,J2,Salience/Ventral Attention,0.2694608523345945
sub-002,j2,J2,Limbic,0.1947772586354158
sub-002,j2,J2,Control,0.3244452593110261
sub-002,j2,J2,Default,0.3136984249064459
sub-002,j3,J3,Subcortical,0.2579248045010557
sub-002,j3,J3,Visual,0.37344722595812124
sub-002,j3,J3,Somato-Motor,0.3661949049830136
sub-002,j3,J3,Dorsal Attention,0.39615287569736823
sub-002,j3,J3,Salience/Ventral Attention,0.3161975723226197
sub-002,j3,J3,Limbic,0.34888943404720507
sub-002,j3,J3,Control,0.4072004131175094
sub-002,j3,J3,Default,0.40971409380770135
sub-002,j4,J4,Subcortical,0.20571666503237807
sub-002,j4,J4,Visual,0.40125987237365024
sub-002,j4,J4,Somato-Motor,0.4595858432197013
sub-002,j4,J4,Dorsal Attention,0.47334989051254694
sub-002,j4,J4,Salience/Ventral Attention,0.47422545157961266
sub-002,j4,J4,Limbic,0.37057178713734473
sub-002,j4,J4,Control,0.43056463582993854
sub-002,j4,J4,Default,0.35913079356365357
sub-002,j5,J5,Subcortical,0.3329242031829804
sub-002,j5,J5,Visual,0.3698008161385558
sub-002,j5,J5,Somato-Motor,0.5581357846677465
sub-002,j5,J5,Dorsal Attention,0.5158000712786517
sub-002,j5,J5,Salience/Ventral Attention,0.5174366496636184
sub-002,j5,J5,Limbic,0.45483712293964096
sub-002,j5,J5,Control,0.4731514850147299
sub-002,j5,J5,Default,0.477590847916828
sub-002,j6,J6,Subcortical,0.3597666517228841
sub-002,j6,J6,Visual,0.44538927709415976
sub-002,j6,J6,Somato-Motor,0.5747126103383146
sub-002,j6,J6,Dorsal Attention,0.5584853932993201
sub-002,j6,J6,Salience/Ventral Attention,0.5302536685376757
sub-002,j6,J6,Limbic,0.3984084273849922
sub-002,j6,J6,Control,0.49325816548986456
sub-002,j6,J6,Default,0.3413972014197207
sub-002,j7,J7,Subcortical,0.368938774189285
sub-002,j7,J7,Visual,0.42300284333884597
sub-002,j7,J7,Somato-Motor,0.5595132522338628
sub-002,j7,J7,Dorsal Attention,0.5101881877796127
sub-002,j7,J7,Salience/Ventral Attention,0.5347824240918677
sub-002,j7,J7,Limbic,0.30582683635482105
sub-002,j7,J7,Control,0.5022955871338581
sub-002,j7,J7,Default,0.42872528105870494
sub-002,j8,J8,Subcortical,0.3563972205428038
sub-002,j8,J8,Visual,0.4423323393321183
sub-002,j8,J8,Somato-Motor,0.5089131937863749
sub-002,j8,J8,Dorsal Attention,0.5357464898715378
sub-002,j8,J8,Salience/Ventral Attention,0.49119353881682737
sub-002,j8,J8,Limbic,0.3901490856007186
sub-002,j8,J8,Control,0.4984172827959864
sub-002,j8,J8,Default,0.43848406134786405
sub-003,memory,Memory,Subcortical,0.15753266970969196
sub-003,memory,Memory,Visual,0.2328085249184682
sub-003,memory,Memory,Somato-Motor,0.2168525941325214
sub-003,memory,Memory,Dorsal Attention,0.23655011069918008
sub-003,memory,Memory,Salience/Ventral Attention,0.26755712545479554
sub-003,memory,Memory,Limbic,0.08977099246360219
sub-003,memory,Memory,Control,0.22363560330845897
sub-003,memory,Memory,Default,0.1324155579920718
sub-003,counting,Counting,Subcortical,0.13070836343650571
sub-003,counting,Counting,Visual,0.18099948147408554
sub-003,counting,Counting,Somato-Motor,0.177856079545865
sub-003,counting,Counting,Dorsal Attention,0.1699405654136255
sub-003,counting,Counting,Salience/Ventral Attention,0.18421188159898313
sub-003,counting,Counting,Limbic,0.12337493888950397
sub-003,counting,Counting,Control,0.16804773059140865
sub-003,counting,Counting,Default,0.12995565880629892
sub-003,j1,J1,Subcortical,0.3037105224889185
sub-003,j1,J1,Visual,0.3758921750173129
sub-003,j1,J1,Somato-Motor,0.4157693100351076
sub-003,j1,J1,Dorsal Attention,0.39592886058697374
sub-003,j1,J1,Salience/Ventral Attention,0.3911867537168533
sub-003,j1,J1,Limbic,0.30089384258598106
sub-003,j1,J1,Control,0.33370625418659167
sub-003,j1,J1,Default,0.2965251600650379
sub-003,j2,J2,Subcortical,0.042814777784780336
sub-003,j2,J2,Visual,0.04209647595342216
sub-003,j2,J2,Somato-Motor,0.17311891988958136
sub-003,j2,J2,Dorsal Attention,0.13800077886402326
sub-003,j2,J2,Salience/Ventral Attention,0.10380923977119993
sub-003,j2,J2,Limbic,0.18334637671685589
sub-003,j2,J2,Control,0.12306140609075035
sub-003,j2,J2,Default,0.1638542489401757
sub-003,j3,J3,Subcortical,0.12492667018241571
sub-003,j3,J3,Visual,0.06876377132861729
sub-003,j3,J3,Somato-Motor,0.24323665602526093
sub-003,j3,J3,Dorsal Attention,0.22960052341519094
sub-003,j3,J3,Salience/Ventral Attention,0.21701762768274574
sub-003,j3,J3,Limbic,0.12686780192507038
sub-003,j3,J3,Control,0.17859797497382776
sub-003,j3,J3,Default,0.20773291444969763
sub-003,j4,J4,Subcortical,0.0742098644877758
sub-003,j4,J4,Visual,0.19729473332618255
sub-003,j4,J4,Somato-Motor,0.21713724765005415
sub-003,j4,J4,Dorsal Attention,0.20155130801804808
sub-003,j4,J4,Salience/Ventral Attention,0.20378540975432066
sub-003,j4,J4,Limbic,0.07491542151538957
sub-003,j4,J4,Control,0.07030302569906922
sub-003,j4,J4,Default,0.06646139191351853
sub-003,j5,J5,Subcortical,0.14247846300807812
sub-003,j5,J5,Visual,0.34238933935460475
sub-003,j5,J5,Somato-Motor,0.2991160414193243
sub-003,j5,J5,Dorsal Attention,0.31014804288426245
sub-003,j5,J5,Salience/Ventral Attention,0.3098436513213522
sub-003,j5,J5,Limbic,0.16700235358676185
sub-003,j5,J5,Control,0.21213892059962158
sub-003,j5,J5,Default,0.1710285237252936
sub-003,j6,J6,Subcortical,0.19227021433832095
sub-003,j6,J6,Visual,0.2819759392645362
sub-003,j6,J6,Somato-Motor,0.2725923069502855
sub-003,j6,J6,Dorsal Attention,0.2500228727236733
sub-003,j6,J6,Salience/Ventral Attention,0.2848066391008528
sub-003,j6,J6,Limbic,0.10079094420925568
sub-003,j6,J6,Control,0.23717642867403238
sub-003,j6,J6,Default,0.2366912152425666
sub-003,j7,J7,Subcortical,0.12310449267274926
